Peak #,X,Y
1,4.4605936304420934,6.72541996573631
2,5.463504275803272,18.42108503151324
3,19.280837459050296,6.03507513213253
4,14.799552142805153,12.078128263941183
5,28.00157607951133,6.038092476987496
6,8.574325133836169,25.28857779742328
7,2.8385691149566297,33.52188668921617
8,18.32697715875176,20.191809634764322
9,14.960623214481576,24.748801973095773
10,32.49041000402967,13.108803456429584
11,28.04922397816324,20.321703710277394
12,39.82933649921525,6.745322966105967
13,49.333059158224366,8.050409768578898
14,7.7176210469538775,38.30922302738368
15,3.9972990090475533,44.91387360433269
16,19.67291726615265,32.16569039574578
17,15.865638270592468,40.514614366802746
18,29.530951974323045,27.594130097434334
19,27.262919161337187,34.035540600850524
20,39.96583942976726,18.60705419491326
21,36.55219117235945,24.9613094688534
22,51.519423135192845,12.639331108656116
23,48.05134389574431,20.710705698580547
24,63.09766448266825,5.726084789834487
25,60.29252221657237,14.983212544405278
26,70.65189578297534,7.608230554784828
27,9.56114348215089,53.85531438038898
28,3.6185531387503724,59.91685622944298
29,21.030343362803347,45.58755001337613
30,15.518087959560106,52.78241441433421
31,28.398907469175807,45.862701643507044
32,41.03990034280898,34.39599537226765
33,35.7717568452313,41.07706068773234
34,53.04586701989464,25.302849587852634
35,48.67106116244433,31.868075535069977
36,63.428860593123396,20.89718282663498
37,76.32211156365302,12.207440818452572
38,71.91306199142119,20.112344202538548
39,86.78301681190663,6.538514777183794
40,81.98995329256363,13.091069069417374
41,95.3305983589694,6.5367492361672905
42,8.86038816593716,64.09123702220735
43,5.2900231046012784,72.82068223530015
44,17.08834072823308,65.66752022586012
45,29.900022575274814,54.54838153205029
46,26.157134518384193,60.203155713129526
47,41.61831130933052,47.453556400259025
48,40.04263271407893,54.7674046968282
49,52.12094760619803,39.190184513877455
50,48.42961460330969,49.52169195677861
51,62.35268098597846,32.011604924866795
52,59.16236337849839,40.71284412935756
53,75.79608206957961,26.27819260377966
54,69.77836347912825,31.65313606169675
55,87.76142481201231,19.629712345062043
56,82.89645770380879,26.216006167299057
57,99.1029495031842,13.07332333622146
58,93.32455355775942,19.616529421043445
59,110.42421341043907,7.535655312565132
60,104.65035355114466,12.071878530057926
61,115.97081249612442,7.535534431078187
62,7.124676074110663,77.30515542535937
63,5.090036314966362,84.90546421307717
64,19.970922106789974,70.13900740370477
65,17.084236341757165,78.83208364150752
66,34.27821681516638,66.1227481208625
67,30.17897906525482,71.82032893750764
68,44.19119963312671,62.44614268937206
69,41.84579578741348,70.01727691592345
70,52.06819308238709,57.97471643003903
71,50.32782574388925,63.31800591726966
72,64.30985062549848,47.09963949359942
73,60.25464037743993,55.57504463933485
74,74.93973893045072,40.80864535541743
75,70.66446338315333,46.40513212862311
76,87.72465472498783,33.852577802548616
77,82.8450940268097,40.6622855177641
78,99.09230957856147,26.175371167638236
79,95.32076136216124,33.90067265959657
80,108.4229420416818,20.608048188217882
81,105.64234784070719,25.158949536570045
82,121.74403224804608,12.071020286974834
83,117.97036968657667,18.606881455870596
84,131.06388694521334,7.535462761758023
85,129.29060222063737,13.070963441531614
86,140.61039078708123,7.535472427081996
87,6.888758152567668,90.39931930794287
88,4.974975908300692,97.9514411207849
89,19.61869094359266,83.48619318808286
90,16.491648586626553,90.48589084201198
91,36.05846999059399,77.22375512769516
92,62.42375999811121,64.11000432638686
93,74.7076471736445,54.183072079199036
94,69.49799147446224,62.65018603451453
95,86.91257552661261,46.277404285080465
96,82.05277302966957,53.97935136406987
97,98.04734580898469,39.06515422542761
98,95.81724619248233,45.36734237720167
99,108.37895205038927,32.748780893970796
100,105.32755272134348,40.74442320611402
101,120.7432692399631,26.142595878199426
102,117.95966866482276,32.68810028937413
103,131.06385261738316,19.606422691549668
104,127.29043075365362,25.142013915219625
105,143.38365206675158,14.070927059878322
106,139.61038299811503,19.606412737294416
107,153.70369563999114,6.535512248675506
108,150.93019554722105,14.070939131627037
109,162.26183769953568,7.538422085537605
110,7.752145565336754,104.44758548635572
111,4.848258491079562,110.05133785567594
112,18.667381937422828,96.83062628413602
113,15.531307966722464,103.2759970273913
114,34.98691937473589,89.01348322051767
115,29.17235142007731,98.25781764750847
116,41.25523277980693,88.81457381419445
117,72.49322869868165,65.92389683344881
118,67.72636731974346,72.3448000180424
119,85.08933789565883,60.177210942983386
120,79.2913323183913,66.18087999170761
121,108.6964991601701,45.1518371585191
122,104.80685696121286,50.97373323974555
123,120.72424536311588,38.22428851165638
124,115.79181750031997,46.81231290681195
125,133.0636612908007,31.67746201980232
126,127.2890882416363,38.21356367043146
127,144.38364345209104,27.14186690976685
128,140.61034263468687,33.67736805600742
129,155.703695544859,20.606339590951123
130,150.93016124334483,27.14187184044907
131,167.0989088485054,12.070979641153821
132,162.2618704526278,20.603458697130918
133,179.11783076977335,6.98263573832698
134,175.19420367272042,13.073728171658862
135,185.71928035570508,6.838424100005195
136,6.60448165304955,117.56788943402462
137,2.7575726789729593,123.97898657252112
138,18.196239175648422,109.7675756057753
139,16.212830769340492,117.50106897546611
140,32.35337032739584,102.12235861660693
141,26.92081329380764,109.40659610948198
142,42.98537054290904,95.0657238374703
143,39.78775081955155,101.1362142762893
144,48.06046664952267,92.51430180878019
145,70.17326230608805,77.45271988485754
146,67.75756071732512,81.59405216733377
147,84.65413109316464,72.08848943645813
148,81.25431335871197,77.99098370179345
149,98.0987295537217,66.57374483582194
150,94.45391734718764,73.09538964299175
151,108.97508478949493,59.49422297689058
152,104.68506830137068,64.23856462103984
153,121.6606318204392,51.306714334730664
154,115.82240362189128,58.94622411233093
155,132.06284737731545,44.749218082432705
156,127.28336046988704,53.2992591721132
157,143.3836106352981,39.21284172503958
158,139.6103687824331,46.749384718359565
159,155.7034274754449,31.677321420476815
160,150.93014378732937,39.212838392313856
161,167.04029010292976,26.132087023269175
162,162.25051768312008,33.67689815950884
163,179.16089924700324,19.164329630702305
164,172.71680846838973,25.02061537266314
165,186.91915611288272,18.24388143556929
166,198.61464026245721,9.258979315124611
167,196.20422215343467,12.92555785135207
168,208.40219598687457,7.002113543379377
169,6.559449844423069,129.81962818381464
170,2.0901370284253704,137.05161905016274
171,18.97196925949892,124.0145452571248
172,14.423142669046003,130.14552599787106
173,31.452246659431538,117.16158255824035
174,26.52939631634682,122.99164343200066
175,41.92490347921605,108.54043577906438
176,38.092649839711186,116.03680968686874
177,52.47591781257314,100.56906746586819
178,48.12583036156875,109.51438247569199
179,61.37239031473811,95.95426026997555
180,58.62776854942818,103.23436890791282
181,73.00313384431142,89.63827844326332
182,70.0219177675455,97.2062256239983
183,86.13408126633436,84.40964462991573
184,82.32602798162637,90.53114115464253
185,96.66594183328405,78.43406755363348
186,92.67385829292611,83.73220905693954
187,109.05378807242596,72.30259035615958
188,106.10794637134028,78.54360325113184
189,119.72733102696252,67.23352153924982
190,117.62451924809565,74.08693706610292
191,133.07025817702416,59.95913880153334
192,129.13212774022884,66.01432344533093
193,144.38673975506242,51.31521527478366
194,140.67336868910706,59.071124151878955
195,154.70323101716866,44.74926937604716
196,151.92671889722465,53.31498781089805
197,165.02337672708057,38.212574416720145
198,162.24980155768156,46.74858160085193
199,176.39246533644544,32.604440477339985
200,173.57174614841273,40.20976641284729
201,187.64061708536767,24.866576407816925
202,183.93491957511864,33.46883949312391
203,209.3254036209671,14.389358375176913
204,217.96700113770189,12.321309905128894
205,228.92590663177663,6.523963052285178
206,2.086917249601624,152.50453301870306
207,19.636074018005502,136.78627063625325
208,15.469122984298924,142.77405868216533
209,29.320237714737853,130.59862303536084
210,26.610359430284987,137.14891055118542
211,43.334177608067975,125.24572341639882
212,38.38611879656438,130.56227526272227
213,53.857231390962404,118.70169799460896
214,49.76431103291844,124.99219319874219
215,65.41037253934795,109.45506193957918
216,59.512849438222,117.45686127079132
217,73.65399815230414,103.46899176620424
218,70.9554716516105,112.59513818129761
219,85.36987767724374,96.24138985463941
220,82.74781516453494,103.5712298545585
221,98.06250371513266,89.66653616166654
222,93.52999420461903,95.72156562927188
223,110.13851080460748,83.84761406129735
224,107.13982167415018,91.98286066221566
225,117.41212115542768,85.09545526736615
226,132.23533367476037,71.83536461406091
227,128.62777784767678,79.48016169488218
228,142.67289071030282,65.7707916517788
229,140.88348606619138,72.59500029009548
230,153.63149980346122,59.06220667870154
231,150.62312700933117,65.76110496968155
232,167.02147250344154,53.286587639545466
233,163.20377254223752,57.893667310896404
234,178.34320976702523,46.74778977587538
235,174.56948496150207,52.28397874675482
236,187.67934004280255,38.171025450742825
237,185.89087363275672,46.74531811813975
238,199.60893690846487,32.094094247219985
239,196.26637042128027,38.12071223052533
240,211.24764068285864,23.476457479358203
241,206.5541028147807,30.50738533860909
242,221.91029622856558,20.319083208494327
243,216.98566040034237,25.580684215027823
244,233.65793224151224,12.906365121773863
245,229.9327651245836,20.345653309238795
246,245.19652092617508,5.535288359877711
247,240.3564769714749,12.020003116478215
248,251.80507107081556,6.535435340193261
